NAME_2,elevation,population,density
Agdangan,24,12764,405
Alabat,29,15936,277
Atimonan,42,64260,268
Buenavista,65,31160,193
Burdeos,47,24644,123
Calauag,30,71809,221
Candelaria,91,137881,1068
Catanauan,31,72752,287
Dolores,328,32514,519
GeneralLuna,9,24804,246
GeneralNakar,234,34225,25
Guinayangan,71,44045,206
Gumaca,38,71942,379
Infanta,16,76186,222
Jomalig,2,7667,142
Lopez,33,94657,266
Lucban,454,53091,407
LucenaCity,15,278924,3500
Macalelon,12,27312,220
Mauban,58,71081,171
Mulanay,62,55576,132
PadreBurgos,25,23488,340
Pagbilao,24,78700,460
Panukulan,9,16376,72
Patnanungan,6,15052,108
Perez,82,12767,222
Pitogo,13,22798,311
Plaridel,11,10129,557
Polillo,40,31908,126
Quezon,17,15886,223
Real,137,38678,114
Sampaloc,232,13629,130
SanAndres,84,37454,217
SanAntonio,134,35891,588
SanFrancisco,55,62097,204
SanNarciso,51,51058,194
Sariaya,139,161868,763
Tagkawayan,46,54003,101
TayabasCity,228,112658,488
Tiaong,94,106265,631
Unisan,21,25448,205
